"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"勇者斗恶龙 III HD-2D 重制版","Dragon Quest III HD-2D Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"龙之信条 2","Dragon's Dogma II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恐惧圣堂武士","Dread Templar","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"以太之梦","Dreams of Aether","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"挖泥机","Dredge","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"驾驶拉力赛","Drive Rally","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"德罗瓦：被遗忘的亲人","Drova: Forsaken Kin","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"决斗公司","Duel Corp.","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"地下城遭遇","Dungeon Encounters","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"消逝的光芒","Dying Light","本地支持","未列入","需手动修复","未列入","需手动修复","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 需手动修复，DSE 未列入；触觉反馈：DS5 需手动修复，DSE 未列入"
"消逝的光芒 2：人与仁之战","Dying Light 2 Stay Human","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"真·三国无双：起源","Dynasty Warriors: Origins","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"EA 体育 FC 24","EA Sports FC 24","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"EA 体育 FC 25","EA Sports FC 25","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"EA 体育 WRC","EA Sports WRC","本地支持","本地支持","未列入","未列入","需手动修复","需手动修复","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 需手动修复，DSE 需手动修复"
"电子棒球：职业精神","Ebaseball: Pro Spirit","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"末日的回响","Echoes of the End","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Eclipse Breaker","Eclipse Breaker","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"永恒的边缘","Edge of Eternity","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"记忆的边缘","Edge of Memories","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"怂恿","Egging On","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"艾尔登法环：黑夜君临","Elden Ring Nightreign","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"九重天","Empyreal","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"ENA：梦想烧烤","ENA: Dream BBQ","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"安德百合：骑士的安静","Ender Lilies: Quietus of the Knights","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"终焉玛格诺利亚：雾中盛放之花","Ender Magnolia: Bloom in the Mist","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"恐惧之谜","Enigma of Fear","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"埃瑞班：暗影遗产","Ereban: Shadow Legacy","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"埃里克霍姆：被偷走的梦想","Eriksholm: The Stolen Dream","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"逃脱模拟器2","Escape Simulator 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"深奥的落潮","Esoteric Ebb","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"永恒之夜","Eternights","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"异界霸主","Etrange Overlord","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"欧洲卡车模拟 2","Euro Truck Simulator 2","限制支持","限制支持","需手动修复","需手动修复","未列入","未列入","未列入","未列入","限制支持","自适应扳机：DS5 需手动修复，DSE 需手动修复"
"永恒空间2","Everspace 2","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"每个人的高尔夫：热门击球","Everybody's Golf: Hot Shots","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"进化论","Evotinction","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"探险：泥泞奔跑游戏","Expeditions: A MudRunner Game","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"极度恐慌","F.E.A.R.","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"极度恐慌：珀尔修斯指令","F.E.A.R. Perseus Mandate","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"F1 2021","F1 2021","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"F1 22","F1 22","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"F1 23","F1 23","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"F1 24","F1 24","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"F1 25","F1 25","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"Faaast Penguin","Faaast Penguin","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","仅 DSE 本地支持 / DS5 非本地或未列入","DSE 本地支持；DS5 未列入"
"仙女击剑F","Fairy Fencer F","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"妖精的尾巴2","Fairy Tail 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"FAITH：邪恶三位一体","FAITH: The Unholy Trinity","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"秋天的家伙","Fall Guys","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"幻想新维度","Fantasian Neo Dimension","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"孤岛惊魂6","Far Cry 6","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"远光84","Farlight 84","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"法马吉亚","Farmagia","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"致命框架2：绯红蝴蝶重制版","Fatal Frame II: Crimson Butterfly Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"饿狼传说：狼之城","Fatal Fury: City of the Wolves","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"命运触发","Fate Trigger","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"命运/空心阿塔拉克西娅重制版","Fate/Hollow Ataraxia Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"命运之夜重制版","Fate/Stay Night Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"FBC：防火线","FBC: Firebreak","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"害怕聚光灯","Fear the Spotlight","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"菲尔伍兹","Fearwoods","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"图2：信条谷","Figment 2: Creed Valley","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"最终幻想","Final Fantasy","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"最终幻想战略版：伊瓦利斯编年史","Final Fantasy Tactics - The Ivalice Chronicles","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"最终幻想 VII（2012）","Final Fantasy VII (2012)","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"最终幻想 VII（2020）","Final Fantasy VII (2020)","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"最终幻想 VII：重生","Final Fantasy VII Rebirth","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"最终幻想 VII 重制版 Intergrade","Final Fantasy VII Remake Intergrade","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"最终幻想 XIV：重生之境","Final Fantasy XIV: A Realm Reborn","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"最终幻想 XVI","Final Fantasy XVI","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"肉与线","Flesh & Wire","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"燧石：遗忘宝藏","Flint: Treasure of Oblivion","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"遗忘","Forgotlings","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"魔咒之地","Forspoken","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"堡垒之夜","Fortnite","本地支持","本地支持","未列入","未列入","未列入","未列入","需手动修复","未列入","DS5 与 DSE 本地支持","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Constant fire."
"狐狸饺子","Foxy Dumplings","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"碎片朋克","FragPunk","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"镶框收藏","Framed Collection","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"自由战争重制版","Freedom Wars Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"星期五晚上狂欢","Friday Night Funkin'","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"前线任务 2：重制版","Front Mission 2: Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"前线任务 3：重制版","Front Mission 3: Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"福尼浣熊游戏","Funi Raccoon Game","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"芬科融合","Funko Fusion","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"加尔守护者：黑暗之仆","Gal Guardians: Servants of the Dark","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"舍伍德帮","Gangs of Sherwood","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"花园故事","Garden Story","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"盖瑞模组","Garry's Mod","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"战争机器：重装上阵","Gears of War: Reloaded","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"神神：哪吒","Genigods: Nezha","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"基因小孩","Genokids","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"原神","Genshin Impact","本地支持","本地支持","限制支持","限制支持","需手动修复","需手动修复","本地支持","本地支持","DS5 与 DSE 本地支持","自适应扳机：DS5 限制支持，DSE 限制支持；触觉反馈：DS5 需手动修复，DSE 需手动修复；触摸板：DS5 触摸板 本地支持，第三方工具/自定义配置，Touchpad is used for text chat in co-op.； Mods: Custom config. Requires reWASD application to run. Uses the touchpad for interacting with a map.；DSE 触摸板 本地支持，原生支持，Native support. Touchpad is used for text chat in co-op."
"格尔达：冬天的火焰","Gerda: A Flame in Winter","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"报仇","Get Even","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"对马岛之魂 导演剪辑版","Ghost of Tsushima Director's Cut","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"幽灵行者2","Ghostrunner 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"幽灵线：东京","Ghostwire: Tokyo","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持；触摸板：DS5 触摸板 本地支持，Changing weapons.Gesture-sealing"
"阴沉的眼睛","Gloomy Eyes","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"回家安妮","Go Home Annie","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"走吧！去！仓鼠大厨！","Go! Go! Hamster Chef!","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"哥布林维克：盗贼大亨","Goblin Vyke: The Thief Tycoon","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"战神","God of War","本地支持","未列入","需手动修复","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 需手动修复，DSE 未列入"
"战神：诸神黄昏","God of War Ragnarök","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"破神者","Godbreakers","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"哥斯拉体素战争","Godzilla Voxel Wars","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"碧蓝幻想对战：崛起","Granblue Fantasy Versus: Rising","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"侠盗猎车手 V 增强版","Grand Theft Auto V Enhanced","本地支持","本地支持","本地支持","本地支持","未列入","未列入","本地支持","本地支持","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触摸板：DS5 触摸板 本地支持，原生支持，Native support.；DSE 触摸板 本地支持，原生支持，Native support. |}"
"侠盗猎车手：圣安地列斯","Grand Theft Auto: San Andreas","需手动修复","需手动修复","需手动修复","需手动修复","未列入","未列入","未列入","未列入","需要手动修复/改动","自适应扳机：DS5 需手动修复，DSE 需手动修复"
"贪婪之秋：垂死的世界","GreedFall: The Dying World","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"超级房车赛：传奇","GRID Legends","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"污垢","Grime","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"污垢II","Grime II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"高达创坏者 4","Gundam Breaker 4","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"枪火重生","Gunfire Reborn","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"哈迪斯","Hades","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"哈迪斯 II","Hades II","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"向彩虹致敬","Hail to the Rainbow","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"半衰期 2","Half-Life 2","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"半衰期 2：第一章","Half-Life 2: Episode One","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"半衰期 2：第二章","Half-Life 2: Episode Two","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"半衰期 2：消失的海岸线","Half-Life 2: Lost Coast","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"半衰期 Legacy","Half-Life Legacy","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"万圣节","Halloween","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"哈罗德大比目鱼","Harold Halibut","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"哈利·波特：魁地奇冠军","Harry Potter: Quidditch Champions","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"急速","Haste","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"祝你死得愉快","Have a Nice Death","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"心丝虫","Heartworm","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"海夫豪 2","Heave Ho 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"我们就是地狱","Hell is Us","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"绝地潜兵 2","Helldivers 2","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"你好陌生人","Hello Stranger","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"完美音浪","Hi-Fi Rush","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"高尚的生活","High on Life","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"杀手：暗杀世界","Hitman: World of Assassination","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"霍格沃茨之遗","Hogwarts Legacy","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"空洞骑士","Hollow Knight","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"空洞骑士：丝之歌","Hollow Knight: Silksong","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"HoloCure - 拯救粉丝！","HoloCure - Save the Fans!","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Hololive宝山","Hololive Treasure Mountain","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"焰姬","Homura Hime","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"崩坏：星穹铁道","Honkai: Star Rail","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"地平线：西之绝境","Horizon Forbidden West","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"地平线猎人聚会","Horizon Hunters Gathering","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"地平线：零之曙光 重制版","Horizon Zero Dawn Remastered","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"热熔岩","Hot Lava","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"风火轮 解放","Hot Wheels Unleashed","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"腐烂之屋","House of Decay","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"超级光破坏者","Hyper Light Breaker","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"我还活着","I Am Alive","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"我是耶稣基督","I Am Jesus Christ","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"I Am Your Beast","I Am Your Beast","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"我讨厌这个地方","I Hate This Place","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"生熊 冰冻罗盘","Ikuma The Frozen Compass","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"阿维姆的不朽者","Immortals of Aveum","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"闪电十一人：英雄们的胜利之路","Inazuma Eleven: Victory Road","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
